Controlled Vocabularies,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
organizationName,,,,,,,,,,,,,,
Source: GC Registry of Applied Terms : http://www.tbs-sct.gc.ca/fip-pcim/reg-eng.asp,,,,,,,,,,,,,,
Source URL: http://www.tbs-sct.gc.ca/fip-pcim/reg-eng.asp,,,,,,,,,,,,,,
"Note: Used 'Applied Title' where applicable, if no 'Applied Title' use 'Legal Title'",,,,,,,,,,,,,,
Controlled Vocabulary,,,,,,,,,,,,,,
English,English Abbr.,English Alternate Name,English Homepage,French,French Abbr.,French Site Name,French Homepage,Department Identifier,Phone Number,Fax,Email,English Address,French Address,
Public Appointments Commission Secretariat,PACS,,http://www.pas.gov.on.ca/scripts/en/generalInfo.asp,Secrétariat de la Commission des nominations publiques,SCNP,,http://www.pas.gov.on.ca/scripts/fr/GeneralInfo.asp,60002,613-957-5211,613-991-4706,awesch@pco-bcp.gc.ca,"Ann Wesch
 Access to Information and Privacy Coordinator
 55 Metcalfe Street, Room 1340
 Ottawa, Ontario  K1A 0A3","Ann Wesch
 Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 55, rue Metcalfe, pièce 1340
 Ottawa, (Ontario)  K1A 0A3",
Public Health Agency of Canada,PHAC,,http://www.phac-aspc.gc.ca/index-eng.php,Agence de la santé publique du Canada,ASPC,,http://www.phac-aspc.gc.ca/index-fra.php,135,613-946-3179,613-941-4541,amanda.wilson@hc-sc.gc.ca,"Amanda Wilson
 Access to Information and Privacy Coordinator
 1600 Scott Street 
Holland Cross, Tower B
 Ottawa, Ontario  K1A 0K9","Amanda Wilson
 Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 1600 rue Scott
 Holland Cross, Tour B
 Ottawa, (Ontario)  K1A 0K9",
Public Prosecution Service of Canada,PPSC,,http://www.ppsc-sppc.gc.ca/eng/,Service des poursuites pénales du Canada,SPPC,,http://www.ppsc-sppc.gc.ca/fra/,98,613-952-1525,613-948-2524,Cyril.McIntyre@ppsc-sppc.gc.ca,"Cyril McIntyre
 Access to Information and Privacy Coordinator
 284 Wellington Street, 2nd Floor 
Ottawa, Ontario  K1A 0H8","Cyril McIntyre
 Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 284, rue Wellington, 2e étage
 Ottawa, (Ontario)  K1A 0H8",
Public Safety Canada,PS,,http://www.publicsafety.gc.ca/index-eng.aspx,Sécurité publique Canada,SP,,http://www.securitepublique.gc.ca/index-fra.aspx,214,613-991-2929,613-954-5167,atip-aiprp@ps-sp.gc.ca,"Darlene Brock
 Access to Information and Privacy Coordinator
 269 Laurier Avenue West, 11th Floor
 Ottawa, Ontario  K1A 0P8","Darlene Brock
 Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 269, avenue Laurier Ouest, 11e étage
 Ottawa, (Ontario)  K1A 0P8",
Public Sector Pension Investment Board,PSPIB,Revera Inc.,http://www.investpsp.ca/en/,Office d’investissement des régimes de pensions du secteur public,OIRPSP,Revera Inc.,http://www.investpsp.ca/fr/index.html,185,514-937-2772,514-925-5426,alefebvre@investpsp.ca,"Anne Lefebvre
 Access to Information and Privacy Coordinator
 1250 René-Lévesque Blvd West, Suite 900
 Montreal, Quebec  H3B 4W8","Anne Lefebvre
 Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 1250, boul. René-Lévesque Ouest, bureau 900
 Montreal, Québec  H3B 4W8",
Public Servants Disclosure Protection Tribunal Canada,PSDPTC,Public Servants Disclosure Protection Tribunal,http://www.psdpt-tpfd.gc.ca/Home-eng.html,Tribunal de la protection des fonctionnaires divulgateurs Canada,TPFDC,Tribunal de la protection des fonctionnaires divulgateurs,http://www.psdpt-tpfd.gc.ca/Accueil-fra.html,40,613-943-8313,613-943-8325,Stuart.Campbell@psdpt-tpfd.gc.ca,"Stuart Campbell
 Access to Information and Privacy Coordinator
 90 Sparks Street, Suite 540
 Ottawa, Ontario  K1P 5B4","Stuart Campbell
 Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 90, rue Sparks, bureau 540
 Ottawa, (Ontario)  K1P 5B4",
Public Service Commission of Canada,PSC,,http://www.psc-cfp.gc.ca/index-eng.htm,Commission de la fonction publique du Canada,CFP,,http://www.psc-cfp.gc.ca/index-fra.htm,227,613-995-9032,613-996-4337,francois.couture@psc-cfp.gc.ca,"François Couture
 Access to Information and Privacy Coordinator
 L'Esplanade Laurier, West Tower
 300 Laurier Avenue West, 19th Floor
 Ottawa, Ontario   K1A 0M7","François Couture
 Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 L'Esplanade Laurier, tour Ouest
 300, avenue Laurier Ouest, 19e étage
 Ottawa, (Ontario)   K1A 0M7",
Public Service Health Care Plan,PSHCP,,http://www.pshcp.ca/,Régime de soins de santé de la fonction publique,RSSFP,,http://www.rssfp.ca/?__utma=217037847.952820231.1386351228.1386351228.1386351228.1&__utmb=217037847.1.10.1386351228&__utmc=217037847&__utmx=-&__utmz=217037847.1386351228.1.1.utmcsr=google|utmccn=(organic)|utmcmd=organic|utmctr=(not%20provided)&__utmv=-&__utmk=184375013,60003,613-565-1762  Ext.241,613-565-2780,atip-aiprp@pshcp.ca,"Natalie Ladouceur
 Access to Information and Privacy Coordinator
 P.O. Box 2245, Station ""D""
 Ottawa, Ontario  K1P 5W4","Natalie Ladouceur
 Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 C.P. 2245, succursale D
 Ottawa, (Ontario)  K1P 5W4",
Public Service Labour Relations Board,PSLRB,,http://pslrb-crtfp.gc.ca/intro_e.asp,Commission des relations de travail dans la fonction publique,CRTFP,,http://pslrb-crtfp.gc.ca/intro_f.asp,102,613-990-1757,613-990-1849,Julie.Raymond@pslrb-crtfp.gc.ca,"Julie Raymond
 Access to Information and Privacy Coordinator
 C.D. Howe Building, West Tower
 240 Sparks Street, 6th Floor
 P.O. Box 1525, Station B 
Ottawa, Ontario  K1P 5V2","Julie Raymond
 Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 Édifice C.D. Howe, tour Ouest
 240, rue Sparks, 6e étage
 C.P. 1525, succursale B
 Ottawa, (Ontario)  K1P 5V2",
Public Service Staffing Tribunal,PSST,,http://psst-tdfp.gc.ca/article.asp?id=5,Tribunal de la dotation de la fonction publique,TDFP,,http://psst-tdfp.gc.ca/article.asp?id=6,266,613-949-5511,613-949-5514,josee.dubois@psst-tdfp.gc.ca,"Josée Dubois
 Access to Information and Privacy Coordinator
 C.D. Howe Building, West Tower
 240 Sparks Street, 6th Floor
 Ottawa, Ontario  K1A 0A5","Josée Dubois
 Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 Édifice C.D. Howe, tour Ouest
 240, rue Sparks, 6e étage
 Ottawa, (Ontario)  K1A 0A5",
Public Works and Government Services Canada,PWGSC,,http://www.tpsgc-pwgsc.gc.ca/comm/index-eng.html,Travaux publics et Services gouvernementaux Canada,TPSGC,,http://www.tpsgc-pwgsc.gc.ca/comm/index-fra.html,81,819-956-1820,819-994-2119,aiprp.atip@tpsgc-pwgsc.gc.ca,"Julie Lafrance 
A/Access to Information and Privacy Coordinator
 Place du Portage, Phase III 
11 Laurier Street, Room 5C1 - 104
 Gatineau, Quebec  K1A 0S5","Julie Lafrance 
Coordonnateur par intérim de l’accès à l’information et de la protection des renseignements personnels
 Place du Portage, Phase III
 11, rue Laurier, pièce 5C1 -104
 Gatineau, (Québec)  K1A 0S5",
Quebec Port Authority,QPA,,http://www.portquebec.ca/index.php?lang=en_GR,Administration portuaire de Québec,APQ,,http://www.portquebec.ca/index.php?lang=fr_CA,60004,418-648-3640,418-648-4186,Pascal.raby@portquebec.ca,"Pascal Raby
 Access to Information and Privacy Coordinator
 150 Dalhousie Street 
P.O. Box 80, Station Haute-Ville
 Québec, Quebec  G1R 4M8","Pascal Raby
 Coordonnateur de l’accès à l’information et de la protection des renseignements personnels
 150, rue Dalhousie 
C.P. 80, Succ. Haute-Ville
 Québec, (Québec)  G1R 4M8",
RCMP External Review Committee,ERC,Royal Canadian Mounted Police External Review Committee,http://www.erc-cee.gc.ca/index-eng.aspx,Comité externe d'examen de la GRC,CEE,Comité externe d'examen de la Gendarmerie Royale du Canada,http://www.erc-cee.gc.ca/index-fra.aspx,232,613-949-3370,613-990-8969,Jill.gunn@erc-cee.gc.ca,"Jill Gunn
 A/Access to Information and Privacy Coordinator
 60 Queen Street, Room 513
 P.O. Box 1159, Station B
 Ottawa, Ontario  K1P 5R2","Jill Gunn
 Coordonnateur par intérim de l'accès à l'information et de la protection des renseignements personnels
 60, rue Queen, pièce 513
 C.P.1159, succursale B
 Ottawa, (Ontario)  K1P 5R2",
Saguenay Port Authority,SPA,,http://www.portsaguenay.ca/index.php?page=17&lang=eng,Administration portuaire du Saguenay,APS,,http://www.portsaguenay.ca/index.php?page=17&lang=fr,78,418-697-0246,418-697-0243,abouchard@portsaguenay.ca,"Alain Bouchard
 Access to Information and Privacy Coordinator
 6600 Quai-Marcel-Dionne Road
 La Baie, Quebec  G7B 3N9","Alain Bouchard
 Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 6600, chemin du Quai-Marcel-Dionne
 La Baie, (Québec)  G7B 3N9",
The Seaway International Bridge Corporation,SIBC,,http://www.sibc.ca/home/?lang=en,"Corporation du pont international de la voie maritime, Ltée",CPIVML,,http://www.sibc.ca/home/?lang=fr,60005,613-993-5345,613-993-6945,jpigeon@federalbridge.ca,"Jacques Pigeon
 Access to Information and Privacy Coordinator
 55 Metcalfe Street, Suite 1210
 Ottawa, Ontario  K1P 6L5",#N/A,
Port of Sept-Iles,PSI,,http://www.portsi.com/,Port de Sept-Îles,PSI,,http://www.portsi.com/fr/accueil/,219,418-961-1235,418-962-4445,pkeays@portsi.com,"Patsy Keays
 Access to Information and Privacy Coordinator
 1 Quai Mgr-Blanche
 Sept-Îles, Quebec  G4R 5P3","Coordonnateur de l’accès à l’information et de la protection des renseignements personnels
 1 Quai Mgr-Blanche
 Sept-Îles, (Québec)  G4R 5P3",
St. John's Port Authority,SJPA,,http://www.sjpa.com/default.aspx,Administration portuaire de St. John's,APSJ,,http://www.sjpa.com/default.aspx?lang=fr,54,709-738-4780,709-738-4769,shanrahan@sjpa.com,"Sean Hanrahan
 Access to Information and Privacy Coordinator
 1 Water Street
 P.O. Box 6178
 St. John's, Newfoundland and Labrador  A1C 5X8","Sean Hanrahan
 Coordonnateur de l’accès à l’information et de la protection des renseignements personnels
 1, rue Water
 C.P. 6178
 St. John's, (Terre-Neuve et du Labrador)  A1C 5X8",
The St. Mary's River Bridge Company,SMRBC,,http://www.federalbridge.ca/Default.aspx?tabid=36,Société du pont de la Rivière Ste Marie,SPRSM,,http://www.pontsfederaux.ca/Default.aspx?tabid=135,60006,613-993-5345,613-993-6945,jpigeon@federalbridge.ca,"Jacques Pigeon
 Access to Information and Privacy Coordinator
 55 Metcalfe Street, Suite 1210
 Ottawa, Ontario  K1P 6L5","Jacques Pigeon
 Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 55, rue Metcalfe, bureau 1210
 Ottawa, (Ontario)  K1P 6L5",
Sustainable Development Technology Canada,SDTC,,http://www.sdtc.ca/index.php?page=home,Technologies du développement durable Canada,TDDC,,http://www.sdtc.ca/index.php?page=home&hl=fr_CA,146,613-234-6313  Ext.248,613-234-0303,d.luke@sdtc.ca,"Derek Luke
 Access to Information and Privacy Coordinator
 45 O'Connor Street, Suite 1850
 Ottawa, Ontario  K1P 1A4","Derek Luke
 Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 45, rue O'Connor, bureau 1850
 Ottawa, (Ontario)  K1P 1A4",
Registrar of the Supreme Court of Canada and that portion of the federal public administration appointed under subsection 12(2) of the Supreme Court Act,SCC,,,Registraire de la Cour suprême du Canada et le secteur de l'administration publique fédérale nommé en vertu du paragraphe 12(2) de la Loi sur la Cour suprême,CSC,,,63,#N/A,#N/A,#N/A,#N/A,#N/A,
Registry of the Competition Tribunal,RCT,,http://www.ct-tc.gc.ca/home.asp,Greffe du Tribunal de la concurrence,GTC,,http://www.ct-tc.gc.ca/Accueil.asp,89,613-957-3172,613-957-3170,tribunal@ct-tc.gc.ca,"Thomas D'Arcy McGee Building
90 Sparks Street, Suite 600
Ottawa, ON
K1P 5B4","Édifice Thomas D'Arcy McGee
90 rue Sparks, bureau 600
Ottawa (Ontario)
K1P 5B4",
Registry of the Specific Claims Tribunal of Canada,SCT,Specific Claims Tribunal of Canada,http://www.sct-trp.ca/hom/index_e.htm,Greffe du Tribunal des revendications particulières du Canada,TRP,Tribunal des revendications particulières Canada,http://www.sct-trp.ca/hom/index_f.htm,220,613-947-3940,613-943-0586,caroline.signorini@sct-trp.ca,"Caroline Signorini
 Access to Information and Privacy Coordinator
 427 Laurier Avenue West, 4th Floor
 PO Box 31
 Ottawa, Ontario  K1R 7Y2","Caroline Signorini
 Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 427, avenue Laurier ouest, 4e étage
 C.P. 31
 Ottawa, (Ontario)  K1R 7Y2",
Ridley Terminals Inc.,RTI,,http://www.rti.ca/,Ridley Terminals Inc.,TRI,,http://www.rti.ca/fr,142,250-627-3529,250-624-2389,bsparkes@rti.ca,"Brenda Sparkes
 Access to Information and Privacy Coordinator
 P.O. Bag 8000
 Prince Rupert, British Columbia  V8J 4H3","Brenda Sparkes
 Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 C.P. Bag 8000
 Prince Rupert, (Colombie-Britannique)  V8J 4H3",
Royal Canadian Mint,Mint,,http://www.mint.ca/store/template/home.jsp?lang=en_CA&rcmeid=BWS-SEM-Search_CAN-RCM-BRANDED-EN_Google-Canada_T_SEM|K_royal%20canadian%20mint|A_3002683908&pdl=1,Monnaie royale canadienne,Monnaie,,http://www.mint.ca/store/template/home.jsp?lang=fr_CA&rcmeid=BWS-SEM-Search_CAN-RCM-BRANDED-EN_Google-Canada_T_SEM|K_royal%20canadian%20mint|A_3002683908&pdl=1,18,613-993-2711,613-990-4665,bertrand@mint.ca,"Madeleine G. Bertrand
 Access to Information and Privacy Coordinator
 320 Sussex Drive
 Ottawa, Ontario   K1A 0G8","Madeleine G. Bertrand
 Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 320, promenade Sussex
 Ottawa, (Ontario)   K1A 0G8",
Royal Canadian Mounted Police,RCMP,,http://www.rcmp-grc.gc.ca/index-eng.htm,Gendarmerie royale du Canada,GRC,,http://www.rcmp-grc.gc.ca/index-fra.htm,131,613-843-6800,613-825-8221,MJeffrey@rcmp-grc.gc.ca,"Michael Jeffrey
 Access to Information and Privacy Coordinator
 RCMP MAILSTOP #61
 73 Leikin Drive
 Ottawa, Ontario  K1A 0R2","Michael Jeffrey
 Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 Arrêt postal de la GRC #61
 73, chemin Leikin
 Ottawa, (Ontario)  K1A 0R2",
Science and Engineering Research Canada,SERC,Natural Sciences and Engineering Research Council of Canada,http://www.nserc-crsng.gc.ca/index_eng.asp,Recherches en sciences et en génie Canada,RSGC,Conseil de recherches en sciences naturelles et en génie du Canada,http://www.nserc-crsng.gc.ca/index_fra.asp,110,613-995-6214,613-943-1222,myriame.cote@nserc-crsng.gc.ca,"Myriame Côté
 Access to Information and Privacy Coordinator
 350 Albert Street, 13th Floor
 Ottawa, Ontario  K1A 1H5","Myriame Côté
 Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 350, rue Albert, 13e étage
 Ottawa, (Ontario)  K1A 1H5",
Security Intelligence Review Committee,SIRC,,http://www.sirc-csars.gc.ca/index-eng.html,Comité de surveillance des activités de renseignement de sécurité,CSARS,,http://www.sirc-csars.gc.ca/index-fra.html,109,613-990-9244,613-990-5230,kathleen.wood@sirc-csars.gc.ca,"Kathleen Wood
 Access to Information and Privacy Coordinator
 122 Bank Street, 4th Floor
 P.O. Box 2430, Station D 
Ottawa, Ontario  K1P 5W5","Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 122, rue Bank, 4e étage
 C.P. 2430, succursale D
 Ottawa, (Ontario)  K1P 5W5",
Shared Services Canada,SSC,,http://www.ssc-spc.gc.ca/index-eng.html,Services partagés Canada,SPC,,http://www.ssc-spc.gc.ca/index-fra.html,92,613-996-0756,613-996-0379,ATIP-AIPRP@ssc-spc.gc.ca,"Monique McCulloch
 Access to Information and Privacy Coordinator
 434 Queen Street
 PO Box 9808 STN T CSC
 Ottawa, Ontario  K1G 4A8","Monique McCulloch
 Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 434, rue Queen
 Casier postal 9808, Station T, CSC
 Ottawa, (Ontario)  K1G 4A8",
Social Sciences and Humanities Research Council of Canada,SSHRC,Social Sciences and Humanities Research Council,http://www.sshrc-crsh.gc.ca/home-accueil-eng.aspx,Conseil de recherches en sciences humaines du Canada,CRSH,Conseil de recherches en sciences humaines,http://www.sshrc-crsh.gc.ca/home-accueil-fra.aspx,207,613-992-1058,613-947-4010,margaret.blakeney@sshrc-crsh.gc.ca,"Margaret Blakeney
 Access to Information and Privacy Coordinator
 350 Albert Street, Room 1190
 Ottawa, Ontario  K1P 6G4","Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 350, rue Albert, pièce 1190
 Ottawa, (Ontario)  K1P 6G4",
Standards Council of Canada,SCC-CCN,,http://www.scc.ca/,Conseil canadien des normes,SCC-CCN,,http://www.scc.ca/fr,107,613-238-3222  Ext.462,613-569-7808,akusy@scc.ca,"Antonia Kusy
 Access to Information and Privacy Coordinator
 270 Albert Street, Suite 200
 Ottawa, Ontario  K1P 6N7","Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 270, rue Albert, bureau 200
 Ottawa, (Ontario)  K1P 6N7",
Statistics Canada,StatCan,,http://www.statcan.gc.ca/start-debut-eng.html,Statistique Canada,StatCan,,http://www.statcan.gc.ca/start-debut-fra.html,256,613-951-9869,613-951-4842,Karen.Mihorean@statcan.gc.ca,"Karen Mihorean
 Access to Information and Privacy Coordinator
 R.H. Coats Building, 26th Floor, Section O
 100 Tunney's Pasture Driveway
 Ottawa, Ontario  K1A 0T6","Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 Immeuble R.-H.-Coats, 26e étage, Section O
 100, promenade du Pré Tunney 
Ottawa, (Ontario)  K1A 0T6",
Status of Women Canada,SWC,,http://www.swc-cfc.gc.ca/index-eng.html,Condition féminine Canada,CFC,,http://www.swc-cfc.gc.ca/index-fra.html,147,613-947-9239,613-957-3359,anick.perreault@swc-cfc.gc.ca,"Anick Perreault
 Access to Information and Privacy Coordinator
 123 Slater Street, 10th Floor 
Ottawa, Ontario  K1P 1H9","Anick Perreault
 Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 123, rue Slater, 10e étage
 Ottawa, (Ontario)  K1P 1H9",
The Correctional Investigator Canada,OCI,Office of the Correctional Investigator,http://www.oci-bec.gc.ca/index-eng.aspx,L'Enquêteur correctionnel Canada,BEC,Bureau de l'enquêteur correctionnel,http://www.oci-bec.gc.ca/index-fra.aspx,5555,613-990-2692,613-990-9091,manuel.marques@oci-bec.gc.ca,"Manuel Marques
 Access to Information and Privacy Coordinator
 P.O. Box 3421, Station ""D""
 Ottawa, Ontario  K1P 6L4","Coordonnateur de l’accès à l’information et de la protection des renseignements personnels
 P.O. Box 3421, Station ""D""
 Ottawa, (Ontario)  K1P 6L4",
The National Battlefields Commission,NBC,National Battlefields Commission,http://www.ccbn-nbc.gc.ca/en/about-us/commission/,Commission des champs de bataille nationaux,CCBN,Commission des Champs de bataille nationaux,http://www.ccbn-nbc.gc.ca/fr/a-notre-sujet/commission/,262,418-648-3553,418-648-3638,andre.beaudet@ccbn-nbc.gc.ca,"André Beaudet
 Access to Information and Privacy Coordinator
 390 de Bernières Avenue
 Québec, Quebec  G1R 2L7","André Beaudet
 Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 390, avenue de Bernières
 Québec, (Québec)  G1R 2L7",
Telefilm Canada,TF,,http://www.telefilm.ca/en/?q=en,Téléfilm Canada,TF,,http://www.telefilm.ca/fr/?q=fr,187,514-283-6363,514-283-2365,odesses@telefilm.gc.ca,"Stéphane Odesse 
Access to Information and Privacy Coordinator
 360 St. Jacques Street, Suite 700
 Montreal, Quebec  H2Y 4A9","Stéphane Odesse 
Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 360, rue Saint-Jacques, bureau 700
 Montreal, (Québec)  H2Y 4A9",
Toronto Port Authority,TPA,,https://www.torontoport.com/,Administration portuaire de Toronto,APT,,https://www.torontoport.com/,61,,,,,,
Transport Canada,TC,,http://www.tc.gc.ca/eng/menu.htm,Transports Canada,TC,,http://www.tc.gc.ca/fra/menu.htm,217,613-993-6161,613-991-6594,ATIP/AIPRP@tc.gc.ca,"Shaun O’Reilly
 Access to Information and Privacy Coordinator
 Place de Ville, Tower C
 330 Sparks Street, Room 827
 Ottawa, Ontario  K1A 0N5","Shaun O’Reilly
 Coordonnateur de l’accès à l’information et de la protection des renseignements personnels
 Place de Ville, tour C
 330, rue Sparks, Pièce 827
 Ottawa, (Ontario)  K1A 0N5",
Transportation Appeal Tribunal of Canada,TATC,,http://www.tatc.gc.ca/index.php?lang=eng,Tribunal d'appel des transports du Canada,TATC,,http://www.tatc.gc.ca/index.php?lang=fra,96,613-990-6906,613-990-9153,info@tatc.gc.ca,"Transportation Appeal Tribunal of Canada
333 Laurier Avenue West
Room 1201
Ottawa, Ontario
K1A 0N5","Tribunal d'appel des transports du Canada
333, avenue Laurier Ouest
Pièce 1201
Ottawa (Ontario)
K1A 0N5",
Transportation Safety Board of Canada,TSB,,http://www.tsb.gc.ca/eng/,Bureau de la sécurité des transports du Canada,BST,,http://www.tsb.gc.ca/fra/index.asp,215,819-994-8003,819-953-9648,Chantal.lemyre@bst-tsb.gc.ca,"Chantal Lemyre
 Access to Information and Privacy Coordinator
 Place du Centre
 200 Promenade du Portage, 4th Floor
 Gatineau, Quebec  K1A 1K8","Coordonnateur de l’accès à l'information et de la protection des renseignements personnels
 Place du Centre
 200, promenade du Portage, 4e étage
 Gatineau, (Québec)  K1A 1K8",
Treasury Board,TB,,http://www.tbs-sct.gc.ca/tbs-sct/index-eng.asp,Conseil du Trésor,CT,,http://www.tbs-sct.gc.ca/tbs-sct/index-fra.asp,105,613-957-7154,613-946-6256,denise.brennan@tbs-sct.gc.ca,"Denise Brennan
 Director, Access to Information and Privacy
 L'Esplanade Laurier, East Tower
 140 O'Connor Street, 8th Floor
 Ottawa, Ontario  K1A 0R5","Denise Brennan
 Directrice, Accès à l'information et de la protection des renseignements personnels
 L'Esplanade Laurier, tour Est
 140, rue O'Connor, 8e étage
 Ottawa, (Ontario)  K1A 0R5",
Treasury Board of Canada Secretariat,TBS,,http://www.tbs-sct.gc.ca/tbs-sct/index-eng.asp,Secrétariat du Conseil du Trésor du Canada,SCT,,http://www.tbs-sct.gc.ca/tbs-sct/index-fra.asp,139,613-957-7154,613-946-6256,denise.brennan@tbs-sct.gc.ca,"Denise Brennan
 Director, Access to Information and Privacy
 L'Esplanade Laurier, East Tower
 140 O'Connor Street, 8th Floor
 Ottawa, Ontario  K1A 0R5","Denise Brennan
 Directrice, Accès à l'information et de la protection des renseignements personnels
 L'Esplanade Laurier, tour Est
 140, rue O'Connor, 8e étage
 Ottawa, (Ontario)  K1A 0R5",
Veterans Affairs Canada,VAC,,http://www.veterans.gc.ca/eng/,Anciens Combattants Canada,ACC,,http://www.veterans.gc.ca/fra/,189,877-566-8609,902-368-0496,ATIP-AIPRP@vac-acc.gc.ca,"Shawn MacDougall
 Access to Information and Privacy Coordinator
 P.O. Box 7700
 Charlottetown, Prince Edward Island  C1A 8M9","Coordonnateur de l’accès à l’information et de la protection des renseignements personnels
 C.P. 7700
 Charlottetown, (Île du Prince Édouard)  C1A 8M9",
Veterans Review and Appeal Board,VRAB,,http://www.vrab-tacra.gc.ca/Home-accueil-eng.cfm,Tribunal des anciens combattants (révision et appel),TACRA,Tribunal des anciens combattants (révision et appel) Canada,http://www.vrab-tacra.gc.ca/Home-accueil-fra.cfm,85,902-566-8639,855-814-4119,karen.rowell@vrab-tacra.gc.ca,"Karen Rowell
 Access to Information and Privacy Coordinator
 161 Grafton Street
 P.O. Box 9900
 Charlottetown, Prince Edward Island  C1A 8V7","Karen Rowell
 Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 161, rue Grafton
 C.P. 9900
 Charlottetown, (Îles-du-Prince-Édouard)  C1A 8V7",
VIA Rail Canada Inc.,VIA Rail,VIA Rail Canada,http://www.viarail.ca/,VIA Rail Canada Inc.,VIA Rail,VIA Rail Canada,http://www.viarail.ca/fr,55555,514-871-6179,514-874-0661,yves_siciliano@viarail.ca,"Yves Desjardins-Siciliano
 Access to Information and Privacy Coordinator
 3 Place Ville Marie, Suite 500
 Montreal, Quebec  H3B 2C9","Yves Desjardins-Siciliano
 Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 3, Place Ville Marie, bureau 500
 Montreal, (Québec)  H3B 2C9",
Western Economic Diversification Canada,WD,,http://www.wd-deo.gc.ca/eng/,Diversification de l'économie de l'Ouest Canada,DEO,,http://www.wd-deo.gc.ca/fra/accueil.asp,55,780-495-4301,780-495-7618,cathy.matthews@wd-deo.gc.ca,"Cathy Matthews
 A/Access to Information and Privacy Coordinator
 Suite 1500, Canada Place
 9700 Jasper Avenue N.W.
 Edmonton, Alberta  T5J 4H7","Cathy Matthews
 Coordonnateur par intérim de l'accès à l'information et de la protection des renseignements personnels
 Place du Canada, bureau 1500
 9700, avenue Jasper, S.O.
 Edmonton, (Alberta)  T5J 4H7",
Windsor-Detroit Bridge Authority,WDBA,,,Autorité du pont Windsor-Détroit,APWD,,,55553,519-258-5741  Ext.24,519-258-5905,cpare@portwindsor.com,"Christine Paré
 Access to Information and Privacy Coordinator
 251 Goyeau Street, Suite 502 
Windsor, Ontario  N9A 6V2","Christine Paré
 Coordonnateur de l’accès à l’information et de la protection des renseignements personnels
 251, rue Goyeau, pièce 502
 Windsor, (Ontario)  N9A 6V2",
Yukon Environmental and Socio-economic Assessment Board,YESAB,,http://www.yesab.ca/,Office d’évaluation environnementale et socio-économique du Yukon,OEESY,,http://www.yesab.ca/,60007,867-668-6420,867-668-6425,yesab@yesab.ca,"Stephen J. Mills
 Access to Information and Privacy Coordinator
 309 Strickland Street, Suite 200
 Whitehorse, Yukon  Y1A 2J9","Stephen J. Mills
 Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 309, rue Strickland, bureau 200
 Whitehorse, (Yukon)  Y1A 2J9",
Yukon Surface Rights Board,YSRB,,http://www.yukonsurfacerights.com/en/,Office des droits de surface du Yukon,ODSY,,http://www.yukonsurfacerights.com/fr/,60008,867-667-7695,867-668-5892,info@yukonsurfacerights.com,"Ian Pumphrey
 Access to Information and Privacy Coordinator
 P.O. Box 31201
 Whitehorse, Yukon  Y1A 5P7","Ian Pumphrey
 Coordonnateur de l'accès à l'information et de la protection des renseignements personnels
 C.P. 31201
 Whitehorse, (Yukon)  Y1A 5P7",
